File,Size,BlockSize,NumberOfCores,Time
run_fw_N_1024_B_128.out,1024,128,1,0.6497
run_fw_N_1024_B_128.out,1024,128,2,0.4618
run_fw_N_1024_B_128.out,1024,128,4,0.5040
run_fw_N_1024_B_128.out,1024,128,8,0.5252
run_fw_N_1024_B_128.out,1024,128,16,0.5525
run_fw_N_1024_B_128.out,1024,128,32,0.6684
run_fw_N_1024_B_128.out,1024,128,64,0.6723
run_fw_N_1024_B_64.out,1024,64,1,0.6888
run_fw_N_1024_B_64.out,1024,64,2,0.4396
run_fw_N_1024_B_64.out,1024,64,4,0.4423
run_fw_N_1024_B_64.out,1024,64,8,0.4902
run_fw_N_1024_B_64.out,1024,64,16,0.5242
run_fw_N_1024_B_64.out,1024,64,32,0.5150
run_fw_N_1024_B_64.out,1024,64,64,0.7096
run_fw_N_2048_B_128.out,2048,128,1,4.6259
run_fw_N_2048_B_128.out,2048,128,2,2.9852
run_fw_N_2048_B_128.out,2048,128,4,3.1396
run_fw_N_2048_B_128.out,2048,128,8,3.2330
run_fw_N_2048_B_128.out,2048,128,16,3.2515
run_fw_N_2048_B_128.out,2048,128,32,3.6827
run_fw_N_2048_B_128.out,2048,128,64,3.8329
run_fw_N_2048_B_64.out,2048,64,1,5.4455
run_fw_N_2048_B_64.out,2048,64,2,2.9411
run_fw_N_2048_B_64.out,2048,64,4,3.1573
run_fw_N_2048_B_64.out,2048,64,8,3.3286
run_fw_N_2048_B_64.out,2048,64,16,3.5219
run_fw_N_2048_B_64.out,2048,64,32,3.7111
run_fw_N_2048_B_64.out,2048,64,64,4.8147
run_fw_N_4096_B_128.out,4096,128,1,34.5821
run_fw_N_4096_B_128.out,4096,128,2,19.4217
run_fw_N_4096_B_128.out,4096,128,4,20.6363
run_fw_N_4096_B_128.out,4096,128,8,21.2063
run_fw_N_4096_B_128.out,4096,128,16,21.7014
run_fw_N_4096_B_128.out,4096,128,32,22.7802
run_fw_N_4096_B_128.out,4096,128,64,24.6216
run_fw_N_4096_B_64.out,4096,64,1,41.1971
run_fw_N_4096_B_64.out,4096,64,2,21.8461
run_fw_N_4096_B_64.out,4096,64,4,22.7150
run_fw_N_4096_B_64.out,4096,64,8,23.3703
run_fw_N_4096_B_64.out,4096,64,16,24.4573
run_fw_N_4096_B_64.out,4096,64,32,26.6539
run_fw_N_4096_B_64.out,4096,64,64,28.2510
