Method,BlockSize,Min,Max,Mean,Total
Naive,32,0.041532,0.041210,0.041781,0.415319
Naive,64,0.047246,0.046942,0.047660,0.472456
Naive,128,0.046650,0.046446,0.046852,0.466495
Naive,256,0.046902,0.046609,0.047220,0.469019
Naive,512,0.045601,0.045282,0.045770,0.456008
Naive,1024,0.049432,0.049258,0.049798,0.494321
Transpose,32,0.054797,0.053702,0.057408,0.547969
Transpose,64,0.057261,0.056362,0.058765,0.572611
Transpose,128,0.057335,0.056760,0.058911,0.573346
Transpose,256,0.057367,0.056766,0.059354,0.573669
Transpose,512,0.057309,0.056670,0.058439,0.573089
Transpose,1024,0.057910,0.056877,0.058835,0.579096
Shmem,32,0.039541,0.039073,0.040436,0.395412
Shmem,64,0.040144,0.039714,0.041880,0.401435
Shmem,128,0.039540,0.039189,0.040587,0.395403
Shmem,256,0.040150,0.039709,0.041706,0.401496
Shmem,512,0.039937,0.039208,0.040906,0.399368
Shmem,1024,0.040101,0.039575,0.041675,0.401007
All_GPU,32,0.005671,0.005326,0.006333,0.056710
All_GPU,64,0.006806,0.006212,0.006972,0.068056
All_GPU,128,0.006681,0.006178,0.006952,0.066810
All_GPU,256,0.006392,0.005990,0.006571,0.063918
All_GPU,512,0.006276,0.005872,0.006253,0.062755
All_GPU,1024,0.006362,0.005959,0.006458,0.063618
