Method,GridSizeX,GridSizeY,Px,Py,Iterations,ComputationTime,TotalTime
Jacobi,2048,2048,1,1,256,8.415538,8.415876
Jacobi,2048,2048,1,2,256,4.220252,4.351592
Jacobi,2048,2048,2,2,256,2.110327,2.222883
Jacobi,2048,2048,2,4,256,1.050951,1.170496
Jacobi,2048,2048,4,4,256,0.655879,0.777291
Jacobi,2048,2048,4,8,256,0.275344,0.353655
Jacobi,2048,2048,8,8,256,0.053604,0.133495
Jacobi,4096,4096,1,1,256,33.649037,33.64938
Jacobi,4096,4096,1,2,256,16.868071,17.077251
Jacobi,4096,4096,2,2,256,8.440014,8.591554
Jacobi,4096,4096,2,4,256,4.228241,4.396995
Jacobi,4096,4096,4,4,256,3.045695,3.215871
Jacobi,4096,4096,4,8,256,2.776214,2.982501
Jacobi,4096,4096,8,8,256,2.085123,2.226157
Jacobi,6144,6144,1,1,256,75.823827,75.824355
Jacobi,6144,6144,1,2,256,37.954648,38.252653
Jacobi,6144,6144,2,2,256,18.985444,19.186295
Jacobi,6144,6144,2,4,256,9.505961,9.737333
Jacobi,6144,6144,4,4,256,6.872016,7.08049
Jacobi,6144,6144,4,8,256,6.50078,6.733747
Jacobi,6144,6144,8,8,256,5.220924,5.397497
GaussSeidelSOR,2048,2048,1,1,256,12.116422,12.116757
GaussSeidelSOR,2048,2048,1,2,256,6.0671,12.434464
GaussSeidelSOR,2048,2048,2,2,256,3.036337,6.313563
GaussSeidelSOR,2048,2048,2,4,256,1.516317,3.319787
GaussSeidelSOR,2048,2048,4,4,256,0.776761,1.819007
GaussSeidelSOR,2048,2048,4,8,256,0.381375,0.97095
GaussSeidelSOR,2048,2048,8,8,256,0.192188,0.544458
GaussSeidelSOR,4096,4096,1,1,256,48.483941,48.484403
GaussSeidelSOR,4096,4096,1,2,256,24.258527,48.997798
GaussSeidelSOR,4096,4096,2,2,256,12.132728,24.674718
GaussSeidelSOR,4096,4096,2,4,256,6.075647,12.64027
GaussSeidelSOR,4096,4096,4,4,256,3.229307,6.842566
GaussSeidelSOR,4096,4096,4,8,256,1.635762,3.709528
GaussSeidelSOR,4096,4096,8,8,256,1.094273,2.445128
GaussSeidelSOR,6144,6144,1,1,256,109.024353,109.024757
GaussSeidelSOR,6144,6144,1,2,256,54.531886,109.813233
GaussSeidelSOR,6144,6144,2,2,256,27.288251,55.198154
GaussSeidelSOR,6144,6144,2,4,256,13.650193,28.047063
GaussSeidelSOR,6144,6144,4,4,256,7.29032,15.168593
GaussSeidelSOR,6144,6144,4,8,256,3.535641,7.727101
GaussSeidelSOR,6144,6144,8,8,256,2.571151,5.623588
RedBlackSOR,2048,2048,1,1,256,18.598393,18.598986
RedBlackSOR,2048,2048,1,2,256,9.31211,9.57231
RedBlackSOR,2048,2048,2,2,256,4.660199,4.88367
RedBlackSOR,2048,2048,2,4,256,2.32992,2.569558
RedBlackSOR,2048,2048,4,4,256,1.313769,1.556756
RedBlackSOR,2048,2048,4,8,256,0.515474,0.707912
RedBlackSOR,2048,2048,8,8,256,0.126583,0.303228
RedBlackSOR,4096,4096,1,1,256,74.406242,74.406956
RedBlackSOR,4096,4096,1,2,256,37.239422,37.657228
RedBlackSOR,4096,4096,2,2,256,18.642268,18.944232
RedBlackSOR,4096,4096,2,4,256,9.335799,9.673986
RedBlackSOR,4096,4096,4,4,256,6.150598,6.492084
RedBlackSOR,4096,4096,4,8,256,5.592109,5.925119
RedBlackSOR,4096,4096,8,8,256,3.846783,4.248086
RedBlackSOR,6144,6144,1,1,256,167.545182,167.545943
RedBlackSOR,6144,6144,1,2,256,83.833558,84.414916
RedBlackSOR,6144,6144,2,2,256,41.956193,42.346765
RedBlackSOR,6144,6144,2,4,256,20.989598,21.439106
RedBlackSOR,6144,6144,4,4,256,13.970288,14.364042
RedBlackSOR,6144,6144,4,8,256,12.942154,13.48856
RedBlackSOR,6144,6144,8,8,256,10.288417,10.632525
